"","x","y","stem.density","basal.area","biomass"
"15887",60000,964000,13.3086774197839,3.06367276736341,18751.666049903
"15888",68000,964000,0.421472295919609,0.404301163623185,8480.89557537459
"15889",76000,964000,0,0,0
"15890",84000,964000,0,0,0
"15891",92000,964000,0,0,0
"15892",1e+05,964000,0,0,0
"15893",108000,964000,0,0,0
"15894",116000,964000,0,0,0
"15895",124000,964000,0.791321897640705,0.259927550240697,3603.56769426341
"15896",132000,964000,1.75320964879151,0.354056415847992,3945.20410121344
"15897",140000,964000,107.204413411006,15.1810959007148,28092.0578175215
"15898",148000,964000,51.5669786558609,7.63607126510666,29590.1083251658
"15899",156000,964000,59.8050400396933,11.5644169226148,21595.8931420596
"15900",164000,964000,72.1928075027901,16.2818140438331,46970.1665794447
"15901",172000,964000,59.8653686154659,23.2735084179876,78091.8554316731
"15902",180000,964000,34.6821862410265,12.9221706834559,64292.5754470638
"15903",188000,964000,23.2262414619734,4.30683414768442,13395.6488673133
"15904",196000,964000,7.75214477409136,1.39477584153786,7327.98059290414
"15905",204000,964000,28.7641813803569,9.53736027842112,80018.9123661906
"15906",212000,964000,4.60858469620412,0.773694911084165,2506.89740960315
"15907",220000,964000,25.8675229499322,6.87820014185226,22939.0331856862
"15908",228000,964000,36.0801492649994,10.2328125320558,47320.408221992
"15909",236000,964000,5.16960245296261,2.48918625537865,22783.0951421374
"15910",244000,964000,2.18679966307528,0.65287521882093,3750.66255590713
"15911",252000,964000,25.979786140428,6.02294599165706,31279.8031127025
"15912",260000,964000,5.44499747045636,1.31166890102868,6110.66714709622
"15913",268000,964000,30.1865151735383,7.59635823507737,28940.0189434575
"15914",276000,964000,37.6498086194706,8.39624442742409,25085.4584486854
"15915",284000,964000,149.915852209574,58.5090331279042,366308.498804066
"15916",292000,964000,161.525754253672,59.0712511328546,258942.696018357
"15917",3e+05,964000,119.726439957383,48.4018687822983,167453.770715168
"15918",308000,964000,143.095758293901,51.0384672882922,137315.140239175
"15919",316000,964000,137.266261101126,40.9826998499177,76600.7417860191
"15920",324000,964000,13.3393594726545,8.92603788892218,186697.869224067
"15921",332000,964000,24.2374481500976,2.99587347770691,11036.2270799841
"15922",340000,964000,5.31532028423383,1.43425003684676,12605.8787226107
"15923",348000,964000,51.3821057958665,9.32687611763455,28855.5377875573
"15924",356000,964000,103.877102434371,25.4091816252558,69242.6280827396
"15925",364000,964000,44.5137521027862,14.3878847475686,44622.6015346496
"15926",372000,964000,62.002850845506,13.7913796967138,55487.3658799807
"15927",380000,964000,135.981969184348,31.8504154126233,77269.0759645543
"15928",388000,964000,124.055549598234,33.133850565258,67894.2839898301
