"","x","y","NonTree","Ashes","Birches","Tamarack","Pine","Fir","Elms","Maple","Cedar","Poplar","Basswood","Spruce","Oaks","Willow","Alder","Ironwoods","Walnuts","Hickory","Beech","Celtis","Cherries","Juniper","Rose Trees","Sycamore","Hardwood undif","Water","Hemlock","*******","Cornus","Buckeye"
"13858",916000,1060000,39,2,9,35,5,0,0,19,25,2,1,17,2,0,0,0,0,0,4,0,0,0,0,0,0,0,18,0,0,0
"13859",924000,1060000,38,0,14,22,3,0,0,17,31,0,0,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0
"13860",932000,1060000,25,0,10,17,0,0,0,26,34,2,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
"13861",940000,1060000,13,1,4,2,0,0,0,4,19,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13862",948000,1060000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13863",956000,1060000,4,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13864",964000,1060000,5,0,0,1,2,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13865",972000,1060000,7,0,3,13,7,0,1,0,3,13,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13866",980000,1060000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13867",988000,1060000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13868",996000,1060000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13869",1004000,1060000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13870",1012000,1060000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13871",1020000,1060000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
